model,,Samsung - Galaxy Nexus,BackBerry - Z10,HTC - DROID DNA,HTC - ONE X+,APPLE - iPhone 4s,APPLE - iPhone 5,HTC - One X,,MEIZU MX2,GALAXY NOTE 2,Huawei Ascend D2,Huawei Ascend Mate,Sony Xperia ZL  Xperia C66,Xperia Z Xperia C66,"Xperia T LTE  LT30a, TL LT30at"
,,,,,,,,,,,Available,,,LED,2330 mAh,Available
,,,,,,,,,,,3100 mAh,,,Available,Digital Compass,1850 mAh
,,,,,,,,,,,Digital Compass,,,Available,,Digital Compass
,,,,,,,,,,,,,,2370 mAh,,
,,,,,,,,,,,,,,Digital Compass,,
,,,,,,,,,,,,,,,Dust Resistant,
,,,,,,,,,,,151.1x80.5x9.4mm,,,,Water Resistant,129.4x67.3x9.4mm
,,,,,,,,,,,179.4g,,,,139x71x7.9mm,148g
,,,,,,,,,,,Candy Bar,,,131.6x69.3x9.8mm,146g,Scratch-Resistant Glass
,,,,,,,,,,,,,,151g,Scratch-Resistant Glass,Candy Bar
,,,,,,,,,,,,,,Scratch-Resistant Glass,Candy Bar,
,,,,,,,,,,,,,,Candy Bar,,
